zip,county_fips,county_name
91208,06037,Los Angeles County
91210,06037,Los Angeles County
91214,06037,Los Angeles County
91301,06037,Los Angeles County
91302,06037,Los Angeles County
91303,06037,Los Angeles County
91304,06037,Los Angeles County
91306,06037,Los Angeles County
91307,06037,Los Angeles County
91311,06037,Los Angeles County
91316,06037,Los Angeles County
91320,06111,Ventura County
91321,06037,Los Angeles County
91324,06037,Los Angeles County
91325,06037,Los Angeles County
91326,06037,Los Angeles County
91330,06037,Los Angeles County
91331,06037,Los Angeles County
91335,06037,Los Angeles County
91340,06037,Los Angeles County
91342,06037,Los Angeles County
91343,06037,Los Angeles County
91344,06037,Los Angeles County
91345,06037,Los Angeles County
91350,06037,Los Angeles County
91351,06037,Los Angeles County
91352,06037,Los Angeles County
91354,06037,Los Angeles County
91355,06037,Los Angeles County
91356,06037,Los Angeles County
91360,06111,Ventura County
91361,06111,Ventura County
91362,06111,Ventura County
91364,06037,Los Angeles County
91367,06037,Los Angeles County
91371,06037,Los Angeles County
91377,06111,Ventura County
91381,06037,Los Angeles County
91384,06037,Los Angeles County
91387,06037,Los Angeles County
91390,06037,Los Angeles County
91401,06037,Los Angeles County
91402,06037,Los Angeles County
91403,06037,Los Angeles County
91405,06037,Los Angeles County
91406,06037,Los Angeles County
91411,06037,Los Angeles County
91423,06037,Los Angeles County
91436,06037,Los Angeles County
91501,06037,Los Angeles County
91502,06037,Los Angeles County
91504,06037,Los Angeles County
91505,06037,Los Angeles County
91506,06037,Los Angeles County
91601,06037,Los Angeles County
91602,06037,Los Angeles County
91604,06037,Los Angeles County
91605,06037,Los Angeles County
91606,06037,Los Angeles County
91607,06037,Los Angeles County
91608,06037,Los Angeles County
91701,06071,San Bernardino County
91702,06037,Los Angeles County
91706,06037,Los Angeles County
91708,06071,San Bernardino County
91709,06071,San Bernardino County
91710,06071,San Bernardino County
91711,06037,Los Angeles County
91722,06037,Los Angeles County
91723,06037,Los Angeles County
91724,06037,Los Angeles County
91730,06071,San Bernardino County
91731,06037,Los Angeles County
91732,06037,Los Angeles County
91733,06037,Los Angeles County
91737,06071,San Bernardino County
91739,06071,San Bernardino County
91740,06037,Los Angeles County
91741,06037,Los Angeles County
91744,06037,Los Angeles County
91745,06037,Los Angeles County
91746,06037,Los Angeles County
91748,06037,Los Angeles County
91750,06037,Los Angeles County
91752,06065,Riverside County
91754,06037,Los Angeles County
91755,06037,Los Angeles County
91759,06037,Los Angeles County
91761,06071,San Bernardino County
91762,06071,San Bernardino County
91763,06071,San Bernardino County
91764,06071,San Bernardino County
91765,06037,Los Angeles County
91766,06037,Los Angeles County
91767,06037,Los Angeles County
91768,06037,Los Angeles County
91770,06037,Los Angeles County
91773,06037,Los Angeles County
91775,06037,Los Angeles County
91776,06037,Los Angeles County
91780,06037,Los Angeles County
91784,06071,San Bernardino County
91786,06071,San Bernardino County
91789,06037,Los Angeles County
91790,06037,Los Angeles County
91791,06037,Los Angeles County
91792,06037,Los Angeles County
91801,06037,Los Angeles County
91803,06037,Los Angeles County
91901,06073,San Diego County
91902,06073,San Diego County
91905,06073,San Diego County
91906,06073,San Diego County
91910,06073,San Diego County
91911,06073,San Diego County
91913,06073,San Diego County
91914,06073,San Diego County
91915,06073,San Diego County
91916,06073,San Diego County
91917,06073,San Diego County
91931,06073,San Diego County
91932,06073,San Diego County
91934,06073,San Diego County
91935,06073,San Diego County
91941,06073,San Diego County
91942,06073,San Diego County
91945,06073,San Diego County
91948,06073,San Diego County
91950,06073,San Diego County
91962,06073,San Diego County
91963,06073,San Diego County
91977,06073,San Diego County
91978,06073,San Diego County
91980,06073,San Diego County
92003,06073,San Diego County
92004,06073,San Diego County
92007,06073,San Diego County
92008,06073,San Diego County
92009,06073,San Diego County
92010,06073,San Diego County
92011,06073,San Diego County
92014,06073,San Diego County
92019,06073,San Diego County
92020,06073,San Diego County
92021,06073,San Diego County
92024,06073,San Diego County
92025,06073,San Diego County
92026,06073,San Diego County
92027,06073,San Diego County
92028,06073,San Diego County
92029,06073,San Diego County
92036,06073,San Diego County
92037,06073,San Diego County
92040,06073,San Diego County
92054,06073,San Diego County
92055,06073,San Diego County
92056,06073,San Diego County
92057,06073,San Diego County
92058,06073,San Diego County
92059,06073,San Diego County
92060,06073,San Diego County
92061,06073,San Diego County
92064,06073,San Diego County
92065,06073,San Diego County
92066,06073,San Diego County
92067,06073,San Diego County
92069,06073,San Diego County
92070,06073,San Diego County
92071,06073,San Diego County
92075,06073,San Diego County
92078,06073,San Diego County
92081,06073,San Diego County
92082,06073,San Diego County
92083,06073,San Diego County
92084,06073,San Diego County
92086,06073,San Diego County
92091,06073,San Diego County
92092,06073,San Diego County
92093,06073,San Diego County
92096,06073,San Diego County
92101,06073,San Diego County
92102,06073,San Diego County
92103,06073,San Diego County
92104,06073,San Diego County
92105,06073,San Diego County
92106,06073,San Diego County
92107,06073,San Diego County
92108,06073,San Diego County
92109,06073,San Diego County
92110,06073,San Diego County
92111,06073,San Diego County
92113,06073,San Diego County
92114,06073,San Diego County
92115,06073,San Diego County
92116,06073,San Diego County
92117,06073,San Diego County
92118,06073,San Diego County
92119,06073,San Diego County
92120,06073,San Diego County
92121,06073,San Diego County
92122,06073,San Diego County
92123,06073,San Diego County
92124,06073,San Diego County
92126,06073,San Diego County
92127,06073,San Diego County
92128,06073,San Diego County
92129,06073,San Diego County
92130,06073,San Diego County
92131,06073,San Diego County
92132,06073,San Diego County
92134,06073,San Diego County
92135,06073,San Diego County
92136,06073,San Diego County
92139,06073,San Diego County
92140,06073,San Diego County
92145,06073,San Diego County
92147,06073,San Diego County
92154,06073,San Diego County
92155,06073,San Diego County
92161,06073,San Diego County
92173,06073,San Diego County
92179,06073,San Diego County
92182,06073,San Diego County
92201,06065,Riverside County
92203,06065,Riverside County
92210,06065,Riverside County
92211,06065,Riverside County
92220,06065,Riverside County
92222,06025,Imperial County
92223,06065,Riverside County
92225,06065,Riverside County
92227,06025,Imperial County
92230,06065,Riverside County
92231,06025,Imperial County
92233,06025,Imperial County
92234,06065,Riverside County
92236,06065,Riverside County
92239,06065,Riverside County
92240,06065,Riverside County
92241,06065,Riverside County
92242,06071,San Bernardino County
92243,06025,Imperial County
92249,06025,Imperial County
92250,06025,Imperial County
92251,06025,Imperial County
92252,06071,San Bernardino County
92253,06065,Riverside County
92254,06065,Riverside County
92256,06071,San Bernardino County
92257,06025,Imperial County
92258,06065,Riverside County
92259,06025,Imperial County
92260,06065,Riverside County
92262,06065,Riverside County
92264,06065,Riverside County
92266,06025,Imperial County
92267,06071,San Bernardino County
92268,06071,San Bernardino County
92270,06065,Riverside County
92273,06025,Imperial County
92274,06065,Riverside County
92275,06025,Imperial County
92276,06065,Riverside County
92277,06071,San Bernardino County
92278,06071,San Bernardino County
92280,06071,San Bernardino County
92281,06025,Imperial County
92282,06065,Riverside County
92283,06025,Imperial County
92284,06071,San Bernardino County
92285,06071,San Bernardino County
92301,06071,San Bernardino County
92304,06071,San Bernardino County
92305,06071,San Bernardino County
92307,06071,San Bernardino County
92308,06071,San Bernardino County
92309,06071,San Bernardino County
92310,06071,San Bernardino County
92311,06071,San Bernardino County
92313,06071,San Bernardino County
92314,06071,San Bernardino County
92315,06071,San Bernardino County
92316,06071,San Bernardino County
92317,06071,San Bernardino County
92320,06065,Riverside County
92321,06071,San Bernardino County
92322,06071,San Bernardino County
92324,06071,San Bernardino County
92325,06071,San Bernardino County
92327,06071,San Bernardino County
92328,06027,Inyo County
92332,06071,San Bernardino County
92333,06071,San Bernardino County
92335,06071,San Bernardino County
92336,06071,San Bernardino County
92337,06071,San Bernardino County
92338,06071,San Bernardino County
92339,06071,San Bernardino County
92341,06071,San Bernardino County
